[	0.0000000000000000e+00	2.3630335330963135e+00	2.1339111328125000e+00	-1.4192944526672363e+01	-1.7215679168701172e+01	]
[	2.5000000000000001e-02	2.0919901517337092e+00	1.6972780549626116e+00	-7.7765926424902725e+00	-1.7455207517509962e+01	]
[	5.0000000000000003e-02	1.9530130120118272e+00	1.2739047283756637e+00	-3.6664019803569197e+00	-1.6116219018787792e+01	]
[	7.4999999999999997e-02	1.8774979643430281e+00	9.2195386099345233e-01	-2.6359795917681073e+00	-1.1741113042898309e+01	]
[	1.0000000000000001e-01	1.7764353244306470e+00	7.4034282752888203e-01	-5.5951890707539995e+00	-2.6015782742866103e+00	]
[	1.2500000000000000e-01	1.6402063605975181e+00	7.6203004232695237e-01	-5.3426573310640961e+00	4.3901895455190028e+00	]
[	1.4999999999999999e-01	1.6340121656211384e+00	6.3549566998070439e-01	4.9409403619195436e+00	-1.4684595686882197e+01	]
[	1.7499999999999999e-01	1.7397727449091265e+00	3.4070822751491386e-01	3.4433678049713645e+00	-8.7638503829045700e+00	]
[	2.0000000000000001e-01	1.8272046071309331e+00	9.8748220293202196e-02	3.5493881329248360e+00	-1.0586296671120673e+01	]
[	2.2500000000000001e-01	1.8707601201096322e+00	1.9839227536340640e-02	-6.9964907159336440e-02	4.2828837625653060e+00	]
[	2.5000000000000000e-01	1.8716808285583195e+00	1.0466983172090726e-01	1.4359626638074077e-01	2.5036747838680946e+00	]
[	2.7500000000000002e-01	1.8789253757775266e+00	9.7628234631058325e-02	4.3610200015859935e-01	-3.0672346830692234e+00	]
[	2.9999999999999999e-01	1.8558691948458998e+00	1.9003643467684399e-02	-2.2802364752567770e+00	-3.2226356884150973e+00	]
[	3.2500000000000001e-01	1.7796741034475885e+00	3.8132257060287483e-08	-3.8158440324660612e+00	1.7032695184195334e+00	]
[	3.4999999999999998e-01	1.6672189249967306e+00	6.4202136770981535e-02	-5.1796138812748262e+00	3.4285790711663178e+00	]
[	3.7500000000000000e-01	1.5400031504732250e+00	1.4953467943340987e-01	-4.9966253284326374e+00	3.3933752271836601e+00	]
[	4.0000000000000002e-01	1.3578079102287288e+00	3.4824618493738912e-01	-9.5548884499799041e+00	1.2411841088213230e+01	]
[	4.2499999999999999e-01	1.0728595298413444e+00	7.6137722693235710e-01	-1.3133166468953320e+01	2.0296936794894584e+01	]
[	4.5000000000000001e-01	8.7326247929401568e-01	1.0144084525512314e+00	-2.9842611764777747e+00	4.5933203112548587e-01	]
[	4.7499999999999998e-01	8.0003028931364462e-01	1.0668388252720125e+00	-2.8731599476326495e+00	3.7345878303427864e+00	]
[	5.0000000000000000e-01	6.7995101213455200e-01	1.3396804332733154e+00	-6.5113010406494141e+00	1.7719516754150391e+01	]
