[	0.0000000000000000e+00	5.0000000000000000e+02	-5.0000000000000000e+02	]
[	2.5000000000000001e-02	5.0000000000000000e+02	2.0074046704649743e+02	]
[	5.0000000000000003e-02	5.0000000000000000e+02	5.0000000000000000e+02	]
[	7.4999999999999997e-02	5.0000000000000000e+02	5.0000000000000000e+02	]
[	1.0000000000000001e-01	5.0000000000000000e+02	5.0000000000000000e+02	]
[	1.2500000000000000e-01	5.0000000000000000e+02	4.7775841834901661e+02	]
[	1.4999999999999999e-01	5.0000000000000000e+02	-1.6280912825272242e+02	]
[	1.7499999999999999e-01	5.0000000000000000e+02	-4.5241232595179116e+02	]
[	2.0000000000000001e-01	3.1510163778941705e+02	3.9983576905087375e+02	]
[	2.2500000000000001e-01	-4.6523601695091378e+02	-4.1787354923451784e+02	]
[	2.5000000000000000e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	2.7500000000000002e-01	-5.0000000000000000e+02	-4.8659772190912639e+02	]
[	2.9999999999999999e-01	-5.0000000000000000e+02	-5.0000000000000000e+02	]
[	3.2500000000000001e-01	-8.3221467151746367e+01	-4.8792231788255145e+02	]
[	3.4999999999999998e-01	-5.0000000000000000e+02	-5.0000000000000000e+02	]
[	3.7500000000000000e-01	-5.0000000000000000e+02	-4.0054437932232639e+02	]
[	4.0000000000000002e-01	-5.0000000000000000e+02	4.9963867988356293e+02	]
[	4.2499999999999999e-01	-5.0000000000000000e+02	4.9899243876537724e+02	]
[	4.5000000000000001e-01	-5.0000000000000000e+02	-3.3120551143515576e+02	]
[	4.7499999999999998e-01	-5.0000000000000000e+02	-1.8802196621252855e+02	]
[	5.0000000000000000e-01	-5.0000000000000000e+02	-1.8802196621252855e+02	]
