[	0.0000000000000000e+00	-4.9999669638761196e+02	4.5113517083059708e+02	]
[	2.5000000000000001e-02	-5.0000000000000051e+02	4.8318485480585002e+02	]
[	5.0000000000000003e-02	-5.0000000000000000e+02	-3.8661792238957204e+01	]
[	7.4999999999999997e-02	-4.0625284666320056e+02	4.9988794039723496e+02	]
[	1.0000000000000001e-01	-5.0000000000000000e+02	-4.9999765527689266e+02	]
[	1.2500000000000000e-01	-5.0000000000000000e+02	-4.9996190986304322e+02	]
[	1.4999999999999999e-01	-5.0000000000000000e+02	-4.9996609054792691e+02	]
[	1.7499999999999999e-01	4.8449355897621507e+02	-4.9997004092938062e+02	]
[	2.0000000000000001e-01	4.9996435592862662e+02	1.0762560890404446e+02	]
[	2.2500000000000001e-01	4.9998101973673977e+02	-3.6672610114502692e+02	]
[	2.5000000000000000e-01	4.9999424300414734e+02	5.0000000000000000e+02	]
[	2.7500000000000002e-01	-3.2882842107816475e+02	4.5558989554916769e+02	]
[	2.9999999999999999e-01	-4.9997710326766071e+02	5.0000000000000000e+02	]
[	3.2500000000000001e-01	-4.9996592869438888e+02	4.9292680741332197e+02	]
[	3.4999999999999998e-01	-1.9300379225826239e+02	4.9999735955991508e+02	]
[	3.7500000000000000e-01	4.9999987686875363e+02	-4.9997135339901939e+02	]
[	4.0000000000000002e-01	4.9999787010004144e+02	3.0000175072167144e+02	]
[	4.2499999999999999e-01	4.9999836333343018e+02	-3.3706870236981922e+02	]
[	4.5000000000000001e-01	4.9999847068869593e+02	-4.9997808897884300e+02	]
[	4.7499999999999998e-01	3.7866794175805842e+02	-9.3723826868509008e+01	]
[	5.0000000000000000e-01	3.7866794175805842e+02	-9.3723826868509008e+01	]
