[	0.0000000000000000e+00	5.5696840286254883e+00	5.3517518043518066e+00	5.8768196105957031e+00	-2.3444927215576172e+01	]
[	2.5000000000000001e-02	5.6847282857569530e+00	4.7419423081439689e+00	3.0114888513472313e+00	-2.5125895791717671e+01	]
[	5.0000000000000003e-02	5.6901077366474491e+00	4.1928473768441359e+00	-2.5004807117729722e+00	-1.9073028780235237e+01	]
[	7.4999999999999997e-02	5.5544999785380318e+00	3.8119330212625804e+00	-8.1785407262661742e+00	-1.1571859996774183e+01	]
[	1.0000000000000001e-01	5.3021386381946121e+00	3.5989801530845051e+00	-1.1891885257430889e+01	-5.5362818532243585e+00	]
[	1.2500000000000000e-01	4.9814119248164648e+00	3.4782629960339144e+00	-1.3739844909649893e+01	-4.1437129785051692e+00	]
[	1.4999999999999999e-01	4.6366868459887938e+00	3.3764022431159102e+00	-1.3813503667439518e+01	-4.0504462437032736e+00	]
[	1.7499999999999999e-01	4.3346005535369603e+00	3.1979009914543268e+00	-1.0320674761023442e+01	-1.0307808226552003e+01	]
[	2.0000000000000001e-01	4.1388500344874926e+00	2.8441383721451738e+00	-5.1592227515232860e+00	-1.8139047967290200e+01	]
[	2.2500000000000001e-01	4.0533229991145197e+00	2.3501310610932666e+00	-1.4780169797986926e+00	-2.1567604819080422e+01	]
[	2.5000000000000000e-01	4.0050319260268941e+00	1.7993922170083396e+00	-2.1397909131894099e+00	-2.2673787449955110e+01	]
[	2.7500000000000002e-01	3.9509137571323429e+00	1.2381359762619073e+00	-2.2323358877212058e+00	-2.2178723836777600e+01	]
[	2.9999999999999999e-01	3.8975813603164786e+00	7.2642151750400574e-01	-2.3620960323830671e+00	-1.8353647685670644e+01	]
[	3.2500000000000001e-01	3.8145619837913047e+00	3.4860443493273502e-01	-4.5143043397922575e+00	-1.1535383400591412e+01	]
[	3.4999999999999998e-01	3.6854992658693058e+00	1.7997453775212668e-01	-5.9009795162038072e+00	-1.8246944772603522e+00	]
[	3.7500000000000000e-01	3.5033035933620433e+00	3.0637416656131033e-01	-8.6629811280594282e+00	1.1889038822009228e+01	]
[	4.0000000000000002e-01	3.2494408806626720e+00	7.7328213144859492e-01	-1.1398839834306719e+01	2.4975607221901956e+01	]
[	4.2499999999999999e-01	2.9467851157558678e+00	1.5291181106733411e+00	-1.2212795682150290e+01	3.4655026060533636e+01	]
[	4.5000000000000001e-01	2.7279461552451889e+00	2.3421822260198026e+00	-5.1865953081743470e+00	3.0866846843538081e+01	]
[	4.7499999999999998e-01	2.6936537346557579e+00	2.9798029805575070e+00	2.0519132148756172e+00	2.0560923665440210e+01	]
[	5.0000000000000000e-01	2.7446079254150391e+00	3.4940459728240967e+00	1.7637920379638672e+00	2.0741497039794922e+01	]
