5.1287,6.1514,-3.1991,-26.726,4.6754,6.196,21.739,-28.156,65.872,66.789,72.087,77.389,87.099,97.718,109.58,122.62,143.42,153.83,122.03,127.3,139.58,94.748,61.232,108.34,198.08,136.33,303.38,318.05,21.693,38.648,45.172,46.244,21.824,1.6238,-26.263,-51.226,-100.84,46.445,-105.4,-29.273,53.276,208.02,329.9,168.73,46.912,27.495,-197.27,-238.98
1.0327,4.1097,28.302,6.9674,4.347,4.622,-12.157,11.801,-63.65,-62.921,-61.68,-65.007,-102,-90.691,-93.658,-96.619,-166.36,-110.6,-101.78,-95.699,-78.035,-73.836,-96.309,-95.769,-103.74,-108.2,-110.87,-112.05,1.3553,-1.232,-4.1895,-4.3838,-90.022,1.2891,10.435,23.267,-23.469,55.816,23.021,-12.438,-60.559,-81.997,-24.302,-16.113,1.0777,13.575,27.622,45.104
2.6603,2.3596,5.9351,17.649,4.722,0.65607,20.208,-26.657,-132.69,-106.78,-76.032,-47.726,-25.816,-5.1646,9.9448,23.13,36.485,51.395,64.07,71.298,81.707,81.521,95.355,121.58,151.99,160.13,219.15,224.14,-17.575,-8.7892,-0.15836,7.7088,14.183,12.273,8.1652,-0.091451,-14.778,-37.129,-53.873,-62.593,-25.002,-24.842,-5.3418,19.818,48.993,64.984,142.3,176.16
1.8101,5.5505,-5.6986,20.526,4.2971,3.2774,-13.77,8.31,72.699,69.572,52.939,82.12,57.039,49.974,36.917,21.206,5.3798,-9.8886,-22.903,-32.119,-100.77,-78.737,-98.077,-110.18,-112.69,-124.75,-109.89,-103.46,40.924,43.121,13.17,-9.1377,5.3197,-7.4105,-16.274,-21.831,-25.82,-28.994,-29.09,-24.244,-9.6738,-66.369,-25.652,6.8293,2.1825,84.696,124.07,198.29
6.2396,5.3606,1.2349,-24.443,2.0665,4.2052,-6.6886,-27.454,-2.8383,-6.6985,-8.9519,-9.3659,-8.0486,-5.9188,-3.7531,-2.0079,-0.55335,1.3218,1.8515,8.7488,8.667,9.7803,12.254,13.64,20.64,27.395,22.738,14.676,-22.358,-14.049,-8.5386,-4.4701,-1.7059,-0.47417,-0.79784,-2.6604,-5.9483,-11.164,-23.841,-31.584,-28.308,-26.712,-27.465,-27.411,-36.814,-51.514,-40.517,-27.473
3.3493,2.3959,-1.8774,-3.286,0.96847,1.7953,4.1164,9.7487,-54.939,-50.092,-44.384,-38.03,-30.771,-22.261,-12.514,-1.8265,9.5399,21.46,33.461,44.572,53.468,59.651,63.063,65.594,67.008,69.143,73.967,83.789,58.369,44.728,31.105,18.611,8.1642,0.30762,-5.049,-8.4607,-10.403,-10.82,-9.1467,-5.1521,1.1808,9.5249,19.321,31.889,45.781,59.545,70.248,75.847
0.87314,0.36125,10.914,-11.815,1.1517,3.1335,0.60448,1.0035,-84.429,-80.933,-77.531,-74.38,-71.682,-69.013,-65.842,-62.555,-58.959,-62.874,-48.374,-33.797,-25.932,-18.755,-10.422,-1.2864,8.6753,19.185,29.994,40.886,-1.6989,-4.1598,-6.3498,-7.8347,-8.1455,-10.281,-9.8307,-11.396,-13.431,-4.7031,-24.342,8.024,1.4271,-3.3966,-8.108,-11.986,-15.155,-17.519,-19.727,-21.884
6.2348,5.4993,-9.6169,1.2099,1.8464,5.6502,-21.062,-15.273,81.749,73.268,62.146,49.328,35.723,22.221,9.2423,-3.137,-15.037,-26.713,-38.61,-46.642,-64.751,-81.18,-99.638,-116.56,-128.46,-134.69,-575.6,-655.74,29.333,12.136,3.7678,1.8064,2.7131,3.2901,2.1535,-0.88322,-5.4088,-10.608,-15.128,-20.697,-16.657,-7.4169,8.922,19.453,7.0175,-69.085,-329.6,-42.991
0.82225,4.4252,-1.6915,9.4956,2.1063,2.8925,-27.149,-3.5834,172.96,150.36,123.06,93.15,55.588,15.784,-14.458,-47.108,-77.343,-99.019,-73.495,-125.77,-77.878,-89.329,-51.326,-52.764,-121.98,-163.13,-167.04,-165.3,-150.95,-118.96,-77.592,-46.267,-32.263,-23.466,2.9168,63.988,171.13,166.78,70.236,43.881,-4.9332,-80.635,-227.3,-252.64,-85.303,19.313,115.87,284.25
3.7109,3.0256,-8.1003,20.357,6.1316,3.3645,-3.8005,-8.2473,132.89,113.93,101.62,85.407,86.465,85.686,80.134,67.066,44.806,21.807,-0.84031,-20.166,-33.554,-40.506,-48.043,-61.546,-72.468,-74.702,-85.644,-85.376,41.484,31.176,24.68,7.1692,-5.6488,-3.9539,-17.77,-27.856,-37.817,-44.033,-48.767,-51.922,-49.976,-44.218,-25.576,7.9434,23.308,38.249,81.882,67.845
